z_m,sigma_Ohm_cm_inv,N_cm3
6.191635607663925e-09,523.9522633908714,4.601064466685848e+19
6.208229543198546e-09,519.4742683186531,4.548764004464824e+19
6.224823478733166e-09,515.0680058638196,4.49744508562321e+19
6.241417414267787e-09,510.73135240468224,4.4470817822649336e+19
6.258011349802407e-09,506.46247444003967,4.397651204064664e+19
6.274605285337028e-09,502.25956432824734,4.349130460697061e+19
6.291199220871649e-09,498.1208360632263,4.301496661836793e+19
6.307793156406269e-09,494.0445213470509,4.254726917158524e+19
6.32438709194089e-09,490.0288659424823,4.2087983363369165e+19
6.3409810274755105e-09,486.0721262893864,4.1636880290466365e+19
6.3575749630101315e-09,482.1725663695418,4.1193731049623446e+19
6.374168898544752e-09,478.32845480490516,4.075830673758712e+19
6.390762834079373e-09,474.5380621749215,4.033037845110396e+19
6.407356769613994e-09,470.79965853901,3.990971728692065e+19
6.423950705148614e-09,467.11151115084255,3.949609434178384e+19
6.440544640683235e-09,463.47188235153607,3.9089280712440136e+19
6.457138576217855e-09,459.8790276293568,3.868904749563622e+19
6.473732511752476e-09,456.3311938339871,3.8295165788118704e+19
6.490326447287096e-09,452.8266175338652,3.790740668663427e+19
6.506920382821717e-09,449.36352350552636,3.752554128792952e+19
6.523514318356338e-09,445.94012334430454,3.714934068875111e+19
6.540108253890958e-09,442.5546141861443,3.6778575985845703e+19
6.556702189425579e-09,439.20517753066264,3.6413018275959923e+19
6.5732961249601994e-09,435.8899781559788,3.6052438655840424e+19
6.58989006049482e-09,432.6071631161757,3.569660822223384e+19
6.606483996029441e-09,429.3548608126052,3.534529807188681e+19
6.6230779315640616e-09,426.1311801305782,3.4998279301546e+19
6.6396718670986826e-09,422.934226292515,3.465532300795804e+19
6.656265802633303e-09,419.76225837663907,3.4316200287869575e+19
6.672859738167924e-09,416.6136067861373,3.398068223802724e+19
6.689453673702544e-09,413.4865637491361,3.3648539955177697e+19
6.706047609237165e-09,410.3793834893049,3.331954453606757e+19
6.722641544771786e-09,407.29028386536413,3.299346707744351e+19
6.739235480306406e-09,404.21744791694636,3.2670078676052173e+19
6.755829415841027e-09,401.1590253213137,3.234915042864017e+19
6.772423351375647e-09,398.11313376531257,3.203045343195419e+19
6.789017286910268e-09,395.077860236812,3.1713758782740836e+19
6.805611222444888e-09,392.0512622397648,3.1398837577746784e+19
6.822205157979509e-09,389.03136893692124,3.108546091371864e+19
6.83879909351413e-09,386.01618222414027,3.077339988740307e+19
6.8553930290487505e-09,383.00367774015217,3.0462425595546747e+19
6.8719869645833714e-09,379.99197385213535,3.0152326414917992e+19
6.888580900117992e-09,376.9807152512892,2.984304962478176e+19
6.905174835652613e-09,373.97037602785167,2.9534628071787573e+19
